Dates,Bloomberry Resorts Corporation (PSE:BLOOM) - Share Pricing,Aboitiz Power Corporation (PSE:AP) - Share Pricing,Ayala Corporation (PSE:AC) - Share Pricing,"Aboitiz Equity Ventures, Inc. (PSE:AEV) - Share Pricing","Alliance Global Group, Inc. (PSE:AGI) - Share Pricing","Ayala Land, Inc. (PSE:ALI) - Share Pricing","BDO Unibank, Inc. (PSE:BDO) - Share Pricing",Bank of the Philippine Islands (PSE:BPI) - Share Pricing,"DMCI Holdings, Inc. (PSE:DMC) - Share Pricing",First Gen Corporation (PSE:FGEN) - Share Pricing,"Globe Telecom, Inc. (PSE:GLO) - Share Pricing","GT Capital Holdings, Inc. (PSE:GTCAP) - Share Pricing","International Container Terminal Services, Inc. (PSE:ICT) - Share Pricing",Jollibee Foods Corporation (PSE:JFC) - Share Pricing,"JG Summit Holdings, Inc. (PSE:JGS) - Share Pricing","LT Group, Inc. (PSE:LTG) - Share Pricing",Metropolitan Bank & Trust Company (PSE:MBT) - Share Pricing,Megaworld Corporation (PSE:MEG) - Share Pricing,Manila Electric Company (PSE:MER) - Share Pricing,Metro Pacific Investments Corporation (PSE:MPI) - Share Pricing,"Puregold Price Club, Inc. (PSE:PGOLD) - Share Pricing",Robinsons Land Corporation (PSE:RLC) - Share Pricing,"Robinsons Retail Holdings, Inc. (PSE:RRHI) - Share Pricing",Semirara Mining and Power Corporation (PSE:SCC) - Share Pricing,Security Bank Corporation (PSE:SECB) - Share Pricing,SM Investments Corporation (PSE:SM) - Share Pricing,San Miguel Corporation (PSE:SMC) - Share Pricing,"SM Prime Holdings, Inc. (PSE:SMPH) - Share Pricing",PLDT Inc. (PSE:TEL) - Share Pricing,Universal Robina Corporation (PSE:URC) - Share Pricing
Jul-02-2018,9.75,34.80,915.00,53.00,11.62,38.00,126.00,87.50,10.90,14.50,1600.00,831.99,78.00,260.00,50.00,18.18,65.49,4.30,353.00,4.62,47.00,18.70,79.70,30.60,202.00,900.00,137.90,35.90,1295.00,122.00
Jul-03-2018,9.75,34.75,915.00,54.45,11.62,38.00,126.00,88.20,10.92,14.80,1648.00,825.73,78.50,260.00,50.50,17.96,66.37,4.40,355.00,4.67,46.00,18.88,79.70,30.55,200.20,915.00,137.50,36.00,1268.00,124.80
Jul-04-2018,10.18,35.15,928.00,54.90,11.70,38.20,128.60,88.00,11.30,14.66,1693.00,833.33,79.50,259.80,51.05,17.80,66.02,4.45,358.00,4.68,46.00,19.78,81.00,30.80,203.00,925.00,137.50,37.00,1299.00,124.80
Jul-05-2018,10.04,35.05,915.00,54.35,11.70,37.60,128.00,86.30,11.06,14.52,1650.00,829.63,79.20,254.00,50.05,17.80,63.50,4.35,350.00,4.63,45.80,19.68,82.95,30.80,203.80,890.00,136.90,37.00,1279.00,121.50
Jul-06-2018,9.80,35.30,898.00,53.10,11.70,36.70,128.50,87.50,11.02,14.86,1667.00,824.07,79.00,251.00,50.00,17.60,61.73,4.40,358.00,4.63,45.90,19.50,83.95,30.70,201.20,879.00,137.00,36.65,1290.00,122.00
Jul-09-2018,9.85,34.75,905.50,52.90,11.64,37.00,129.50,89.00,10.78,14.66,1634.00,826.85,79.30,245.00,49.50,17.60,60.04,4.40,354.00,4.64,45.85,19.80,82.00,30.70,200.80,890.00,138.00,36.40,1295.00,120.20
Jul-10-2018,9.50,36.00,924.00,52.75,11.64,36.55,131.00,91.00,10.90,14.68,1650.00,851.85,79.00,246.00,50.40,17.98,60.88,4.41,354.00,4.64,46.00,19.72,83.00,31.15,202.00,880.00,136.80,36.80,1323.00,121.00
Jul-11-2018,9.35,35.60,938.00,53.15,11.64,37.30,129.50,94.10,11.00,14.78,1651.00,849.07,79.35,247.20,50.95,18.18,61.15,4.47,357.80,4.66,46.00,19.74,83.40,31.80,202.60,916.50,137.80,37.15,1360.00,122.00
Jul-12-2018,9.73,36.20,966.00,53.55,11.60,37.50,129.00,96.00,11.00,14.84,1640.00,881.48,79.40,249.80,51.00,18.00,62.21,4.65,355.60,4.50,45.70,19.20,82.80,31.50,207.40,909.00,137.00,36.40,1350.00,123.00
Jul-13-2018,9.40,36.70,964.00,53.75,11.66,37.65,128.90,96.00,11.00,15.30,1660.00,884.26,79.40,251.80,52.90,18.00,61.50,4.67,356.00,4.57,45.00,19.52,82.50,31.85,212.00,916.00,136.90,36.95,1355.00,126.00
Jul-16-2018,9.38,36.50,971.50,53.55,11.64,37.10,127.90,96.60,11.00,15.28,1662.00,879.63,79.50,248.80,52.40,17.96,61.77,4.54,358.60,4.43,45.30,19.78,83.00,31.65,212.00,901.00,137.00,37.00,1340.00,128.70
Jul-17-2018,9.44,36.95,953.00,53.15,11.62,37.40,129.00,95.50,10.98,15.20,1709.00,888.89,81.00,252.60,52.90,17.70,61.95,4.49,357.00,4.52,45.20,19.52,83.00,31.65,211.60,900.00,136.90,37.00,1355.00,130.80
