Date,Aurora,Bataan,Bulacan,Nueva Ecija,Pampanga,Tarlac,Zambales,Angeles,Olongapo
"March 17, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 18, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 19, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 20, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 21, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 22, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 23, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 24, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 25, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 26, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 27, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 28, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 29, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 30, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"March 31, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 1, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 2, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 3, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 4, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 5, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 6, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 7, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 8, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 9, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
